Timestamp,SentBy,Topic,Message,Specificity_Anurag,Relevance_Anurag,Clarity_Anurag,Open_ended_Questions,Expanded_Closed_Questions
2021-12-29 17:58:10.994000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"Hello and thank you for connecting! I'm an AI chatBot, and I'll be asking you questions about the impact of covid-19 on your personal and social life.",0,0,0,0,0
2021-12-29 17:58:12.034000+00:00,chatbotAgentA,Survey on the impact of COVID-19,In what ways has your home changed?,0,0,0,0,0
2021-12-29 17:58:45.138000+00:00,user,Survey on the impact of COVID-19,I have downsized since the pandemic to save money,0,0,0,1,0
2021-12-29 17:58:49.343000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find that your rooms provide uses they never did previously?,0,0,0,0,0
2021-12-29 17:59:10.053000+00:00,user,Survey on the impact of COVID-19,"Yes, my bedroom is now my office and kitchen",0,0,0,1,0
2021-12-29 17:59:11.494000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Great.,0,0,0,0,0
2021-12-29 17:59:13.512000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you feel comfortable going out now that the vaccine is available?,0,0,0,0,0
2021-12-29 17:59:31.240000+00:00,user,Survey on the impact of COVID-19,I did until Omicron started last month,0,0,0,0,1
2021-12-29 17:59:35.662000+00:00,chatbotAgentA,Survey on the impact of COVID-19,How often do you leave your home?,0,0,0,0,0
2021-12-29 17:59:40.601000+00:00,user,Survey on the impact of COVID-19,Once a week,0,0,0,1,0
2021-12-29 17:59:44.761000+00:00,chatbotAgentA,Survey on the impact of COVID-19,What barriers do you find you’re needing to overcome in order to leave your home?,0,0,0,0,0
2021-12-29 18:00:14.982000+00:00,user,Survey on the impact of COVID-19,I'm trying to avoid leaving to prevent catching covid,0,0,0,1,0
2021-12-29 18:00:19.338000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find it is taking you longer to get ready to leave the house than it did pre-pandemic?,0,0,0,0,0
2021-12-29 18:00:24.591000+00:00,user,Survey on the impact of COVID-19,No,0,0,0,0,0
2021-12-29 18:00:26.988000+00:00,chatbotAgentA,Survey on the impact of COVID-19,What activities are you willing to engage in now?,0,0,0,0,0
2021-12-29 18:00:49.754000+00:00,user,Survey on the impact of COVID-19,I am willing to visit family and get a haircut,0,0,0,1,0
2021-12-29 18:00:53.972000+00:00,chatbotAgentA,Survey on the impact of COVID-19,How is this different from what you did while in isolation?,0,0,0,0,0
2021-12-29 18:01:05.131000+00:00,user,Survey on the impact of COVID-19,I did not visit family and I cut my own hair,0,0,0,1,0
2021-12-29 18:01:09.304000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Has your view of your community and town changed?,0,0,0,0,0
2021-12-29 18:01:21.860000+00:00,user,Survey on the impact of COVID-19,Yes I feel like people don't care about spreading disease,0,0,0,1,0
2021-12-29 18:01:23.346000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Got it.,0,0,0,0,0
2021-12-29 18:01:25.370000+00:00,chatbotAgentA,Survey on the impact of COVID-19,How has your relationship with the outdoors changed?,0,0,0,0,0
2021-12-29 18:01:46.664000+00:00,user,Survey on the impact of COVID-19,I feel like the air outside is safer than inside,0,0,0,1,0
2021-12-29 18:01:51.124000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find it relaxing to be outside? Or scary?,0,0,0,0,0
2021-12-29 18:02:04.384000+00:00,user,Survey on the impact of COVID-19,I find it relaxing to be outside away from people,0,0,0,1,0
